County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,People Vaccinated with Booster Dose,"Population
5+","Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel"
Anderson,4/5N,"17,870","55,565","26,856","23,826","7,619","54,637","50,661","48,045","8,658","2,051",833,"20,206","1,574"
Andrews,10-Sep,"6,100","19,557","9,128","8,102","2,650","17,266","14,863","13,503","1,833",309,106,"5,450",41
Angelina,4/5N,"58,100","95,411","44,070","39,269","15,101","81,499","72,486","67,056","14,422","6,534","1,752","28,054","3,266"
Aransas,11,"6,840","34,769","15,910","13,839","6,014","22,639","20,834","19,803","6,791",370,252,"6,701",39
Archer,3-Feb,"3,200","9,590","4,425","4,062","1,499","7,996","7,388","6,921","1,677",80,13,"2,381",330
Armstrong,1,"2,100","1,758",821,718,275,"1,723","1,584","1,499",470,32,86,466,0
Atascosa,8,"19,000","60,488","28,794","24,949","8,471","46,959","41,738","38,768","7,605","1,124",651,"15,239","1,557"
Austin,6/5S,"8,700","34,512","16,557","14,478","5,454","28,313","25,335","23,704","5,933",667,396,"7,873","1,079"
Bailey,1,"24,135","6,404","3,187","2,630",839,"6,414","5,603","5,089","1,036",114,74,"1,982",0
Bandera,8,"5,100","24,377","11,433","9,994","4,188","22,019","20,596","19,763","6,439",352,180,"6,555",20
Bastrop,7,"62,200","123,844","59,508","49,791","17,716","82,246","74,173","68,839","13,865","1,462",696,"29,356","2,746"
Baylor,3-Feb,"5,550","3,350","1,594","1,441",457,"3,302","2,992","2,793",844,137,97,908,0
Bee,11,"83,660","39,676","18,916","16,032","5,411","31,026","28,034","26,496","4,091",981,684,"11,359",989
Bell,7,"222,970","374,894","181,211","152,776","52,303","336,691","294,905","272,969","40,534","15,894","2,466","95,066","12,910"
Bexar,8,"1,502,800","3,187,679","1,504,213","1,269,439","497,358","1,864,646","1,661,614","1,552,823","247,843","100,704","17,248","614,646","61,232"
Blanco,7,"5,600","14,901","6,791","6,029","2,569","11,461","10,598","10,092","3,004",90,102,"3,388",303
Borden,10-Sep,0,445,228,200,51,613,569,543,174,9,0,163,0
Bosque,7,"11,100","20,320","9,428","8,390","3,438","17,664","16,110","15,224","4,741",624,407,"5,126",579
Bowie,4/5N,"67,090","78,804","38,543","32,695","11,129","86,659","78,795","73,689","15,832","6,332","1,467","29,102","3,303"
Brazoria,6/5S,"224,000","520,407","240,686","215,367","81,242","347,809","310,503","287,683","45,752","9,762","2,648","105,966","12,034"
Brazos,7,"176,390","284,784","134,213","116,819","41,823","218,080","198,148","186,843","21,693","7,514","1,414","59,619","6,083"
Brewster,10-Sep,"5,100","12,558","5,938","5,030","2,124","8,905","8,071","7,706","2,231",303,0,"2,579",255
Briscoe,1,"1,200","1,575",684,614,311,"1,470","1,352","1,272",404,19,0,452,0
Brooks,11,"3,400","11,030","5,186","4,498","1,759","6,460","5,714","5,317","1,308",323,246,"2,253",22
Brown,3-Feb,"14,800","34,814","17,623","15,733","5,402","36,099","32,897","30,883","7,720","1,663",911,"11,188","1,112"
Burleson,7,"4,700","20,901","9,695","8,732","3,496","17,438","15,888","14,869","3,867",143,218,"5,600",518
Burnet,7,"38,215","60,605","28,269","24,999","10,166","45,640","41,525","39,239","10,999","1,823",595,"13,132",94
Caldwell,7,"15,100","57,808","27,952","23,688","8,476","41,232","37,400","34,853","6,512","1,286",524,"14,114","1,294"
Calhoun,8,"7,300","26,728","12,833","11,209","4,310","20,138","17,988","16,817","3,981",470,384,"6,161",53
Callahan,3-Feb,"3,500","12,225","5,801","5,178","1,948","12,938","11,949","11,263","2,958",146,122,"4,094",442
Cameron,11,"377,955","839,644","408,886","330,586","121,737","389,474","339,698","311,689","58,607","29,737","6,315","127,806","17,059"
Camp,4/5N,"1,800","13,390","6,306","5,426","1,983","12,036","10,774","10,031","2,494",207,152,"3,927",0
Carson,1,"1,800","4,969","2,301","2,023",770,"5,596","5,073","4,718","1,250",60,0,"1,547",240
Cass,4/5N,"5,100","24,333","11,730","10,155","3,865","28,402","25,670","24,182","6,856","1,216",550,"9,010","1,125"
Castro,1,"3,100","7,820","3,778","3,132","1,145","6,853","6,026","5,607","1,236",121,174,"2,168",341
Chambers,6/5S,"37,400","50,926","24,124","21,253","6,744","40,048","35,653","33,062","5,259",958,244,"12,484","1,539"
Cherokee,4/5N,"18,070","49,938","23,687","20,883","7,700","49,273","44,073","40,876","9,444","1,500",738,"16,376","1,511"
Childress,1,"5,000","7,978","3,848","3,549","1,391","6,988","6,419","6,094","1,165",251,136,"2,395",0
Clay,3-Feb,"14,645","10,444","4,796","4,383","1,643","9,986","9,145","8,666","2,484",136,60,"3,011",384
Cochran,1,"1,400","2,459","1,249","1,089",314,"2,701","2,361","2,188",468,57,0,956,0
Coke,10-Sep,0,"3,192","1,444","1,276",562,"3,118","2,889","2,756",947,47,130,899,0
Coleman,3-Feb,"3,700","7,500","3,445","3,065","1,281","7,888","7,133","6,721","2,119",342,162,"2,379",289
Collin,3-Feb,"763,700","1,707,684","780,745","687,891","275,329","962,905","865,275","801,716","116,575","38,139","7,817","236,374","34,589"
Collingsworth,1,"2,200","2,302","1,099",922,436,"2,762","2,432","2,263",555,80,92,847,0
Colorado,6/5S,"12,600","26,196","12,462","11,053","4,395","20,298","18,273","17,107","4,850",853,477,"5,957",613
Comal,8,"94,530","228,913","107,117","93,627","37,528","146,783","133,278","125,307","28,528","5,457","1,845","38,712","4,242"
Comanche,3-Feb,"6,890","14,622","6,809","6,107","2,478","12,904","11,640","10,944","3,330",330,292,"3,738",455
Concho,10-Sep,"2,000","3,211","1,550","1,282",541,"2,529","2,382","2,288",689,76,66,815,0
Cooke,3-Feb,"18,500","37,558","18,362","15,298","5,299","38,180","34,774","32,675","7,804",948,552,"11,640","1,051"
Coryell,7,"38,595","74,658","35,639","30,730","10,659","72,152","64,702","60,428","8,040","1,178",610,"22,789","2,014"
Cottle,3-Feb,0,"1,231",588,519,209,"1,285","1,181","1,123",339,5,0,446,0
Crane,10-Sep,"3,550","4,405","2,238","1,730",481,"4,406","3,834","3,554",594,71,110,"1,353",0
Crockett,10-Sep,0,"4,057","1,845","1,590",671,"3,247","2,885","2,694",612,31,56,"1,031",0
Crosby,1,"4,050","6,253","2,826","2,537","1,019","5,360","4,779","4,421","1,085",98,115,"1,771",284
Culberson,10-Sep,"2,000","2,886","1,313","1,148",445,"2,001","1,824","1,746",480,67,0,722,0
Dallam,1,"28,810","7,737","4,048","2,996",811,"6,531","5,706","5,217",857,40,0,"2,067",0
Dallas,3-Feb,"1,962,805","3,806,197","1,803,575","1,546,903","550,369","2,459,647","2,181,224","2,028,105","292,117","142,713","21,399","730,851","83,452"
Dawson,10-Sep,"4,600","9,953","4,994","4,326","1,206","11,679","10,475","9,789","1,898",304,112,"4,206",475
DeWitt,8,"7,100","21,647","10,002","9,041","3,468","18,888","17,091","16,110","4,035",319,438,"6,110","1,055"
Deaf Smith,1,"5,000","18,519","8,948","7,788","2,566","17,031","14,756","13,439","2,423",238,147,"5,332",0
Delta,4/5N,"1,700","4,243","1,996","1,751",611,"4,893","4,476","4,222","1,118",379,100,"1,580",0
Denton,3-Feb,"567,070","1,338,760","609,559","542,645","217,612","829,733","750,269","697,330","93,499","23,806","5,913","257,836","22,330"
Dickens,1,0,"1,677",788,701,290,"2,058","1,943","1,858",525,21,0,689,0
Dimmit,8,"23,265","21,117","11,603","7,237","2,429","9,411","8,187","7,539","1,749",238,175,"3,179",48
Donley,1,"1,400","2,930","1,366","1,183",453,"3,094","2,837","2,716",804,27,65,918,0
Duval,11,"3,800","17,776","8,379","7,078","2,852","10,340","9,183","8,600","2,031",69,150,"3,541",482
Eastland,3-Feb,"7,340","15,507","7,480","6,487","2,390","17,366","15,879","14,970","4,054",860,389,"5,393",591
Ector,10-Sep,"117,100","168,262","81,473","69,446","20,982","151,403","131,546","120,896","15,970","5,303","1,016","50,679",428
Edwards,8,0,"1,891",865,746,316,"1,801","1,648","1,555",561,24,0,528,0
