County,Confirmed Cases,Probable Cases,Fatalities
Anderson,6601,2888,230
Andrews,3430,358,71
Angelina,8922,6316,469
Aransas,3150,900,78
Archer,1837,255,28
Armstrong,333,167,8
Atascosa,10652,2634,228
Austin,4381,1178,71
Bailey,892,488,38
Bandera,2515,1009,74
Bastrop,16146,5439,226
Baylor,314,495,32
Bee,6496,1657,149
Bell,53082,13020,866
Bexar,463307,82021,5934
Blanco,1424,1080,33
Borden,74,20,2
Bosque,2819,1196,70
Bowie,11843,7781,411
Brazoria,76488,16233,970
Brazos,54345,5347,402
Brewster,786,266,26
Briscoe,328,116,8
Brooks,1150,454,51
Brown,5792,4910,221
Burleson,4046,936,65
Burnet,8812,1855,161
Caldwell,11931,2124,172
Calhoun,3594,2070,46
Callahan,1398,1368,72
Cameron,78403,20308,1984
Camp,1755,1031,72
Carson,1052,428,34
Cass,4503,2524,188
Castro,1782,476,46
Chambers,10095,171,69
Cherokee,3253,4665,246
Childress,2449,134,28
Clay,1769,271,32
Cochran,632,229,23
Coke,334,496,19
Coleman,1032,578,69
Collin,155858,48021,1442
Collingsworth,489,198,16
Colorado,2962,745,61
Comal,21717,10458,530
Comanche,2375,754,77
Concho,551,514,11
Cooke,5748,1424,130
Coryell,14794,2298,205
Cottle,253,26,9
Crane,336,930,24
Crockett,143,841,19
Crosby,1011,816,45
Culberson,470,38,14
Dallam,1708,414,40
Dallas,485274,80322,6501
Dawson,1851,907,93
Deaf Smith,3542,913,109
Delta,738,1056,24
Denton,128367,39513,1301
DeWitt,3962,2457,96
Dickens,199,222,16
Dimmit,4766,942,51
Donley,448,617,24
Duval,2487,816,68
Eastland,1946,817,108
Ector,20148,16787,682
Edwards,313,152,11
El Paso,194749,8679,3638
Ellis,37877,10466,569
Erath,5942,2640,121
Falls,3141,586,62
Fannin,4230,2527,178
Fayette,3127,1602,99
Fisher,553,51,24
Floyd,1123,776,47
Foard,160,38,11
Fort Bend,156047,20978,1127
Franklin,1477,631,40
Freestone,2258,1575,82
Frio,4329,1281,90
Gaines,1545,335,83
Galveston,82661,12035,830
Garza,607,622,27
Gillespie,3220,2065,106
Glasscock,74,123,3
Goliad,787,394,32
Gonzales,3318,1356,95
Gray,4121,1958,122
Grayson,23637,3370,616
Gregg,12341,10683,653
Grimes,7390,1025,116
Guadalupe,26039,10751,387
Hale,6165,331,238
Hall,856,211,22
Hamilton,1688,269,32
Hansford,635,1264,29
Hardeman,498,55,19
Hardin,5607,6387,244
Harris,955141,38187,10693
Harrison,6838,6152,222
Hartley,1019,313,3
Haskell,386,504,39
Hays,51532,5324,421
Hemphill,1035,131,7
Henderson,12169,3137,410
Hidalgo,138491,55637,3435
Hill,6620,2169,191
Hockley,6293,1275,157
Hood,8559,4722,263
Hopkins,4628,2512,174
Houston,2170,1794,106
Howard,3666,3021,176
Hudspeth,789,183,16
Hunt,11272,4395,354
Hutchinson,5335,1264,133
Irion,207,231,3
Jack,1297,193,27
Jackson,2613,610,59
Jasper,3450,2601,181
Jeff Davis,165,56,9
Jefferson,41127,3089,808
Jim Hogg,794,1797,21
Jim Wells,8535,2522,201
Johnson,32492,9251,707
Jones,2923,1567,90
Karnes,4592,862,67
Kaufman,27773,7116,518
Kendall,4737,3266,115
Kenedy,45,37,2
Kent,64,138,4
Kerr,4364,5128,177
Kimble,362,310,15
King,30,11,0
Kinney,640,92,10
Kleberg,4847,2264,141
Knox,284,203,24
La Salle,1727,588,45
Lamar,3927,5580,248
Lamb,3231,1037,121
Lampasas,4715,768,87
Lavaca,2656,1514,115
Lee,2127,2084,60
Leon,2733,946,89
Liberty,13345,4162,393
Limestone,3596,1466,122
Lipscomb,510,131,16
Live Oak,1613,521,40
Llano,2625,1219,94
Loving,41,123,0
Lubbock,64642,28378,1296
Lynn,1134,259,37
Madison,2840,844,53
Marion,976,676,58
Martin,715,449,26
Mason,303,476,12
Matagorda,6808,1363,174
Maverick,19247,1401,454
McCulloch,623,632,46
McLennan,47752,8710,886
McMullen,134,34,9
Medina,7215,2747,192
Menard,218,293,12
Midland,24902,12312,484
Milam,2761,2139,99
Mills,1183,277,33
Mitchell,1735,125,47
Montague,4015,610,121
Montgomery,107900,27567,1263
Moore,3693,1732,109
Morris,1643,842,68
Motley,120,150,12
Nacogdoches,8944,3037,255
Navarro,6102,6203,217
Newton,797,560,59
Nolan,2801,245,95
Nueces,60613,20995,1225
Ochiltree,1836,348,47
Oldham,303,240,6
Orange,6235,8666,340
Palo Pinto,6150,852,151
Panola,2606,1888,127
Parker,26895,7035,431
Parmer,1418,849,51
Pecos,1992,654,69
Polk,4990,2789,242
Potter,27464,1789,630
Presidio,691,273,35
Rains,1008,816,57
Randall,25361,1841,474
Reagan,291,563,14
Real,563,242,24
Red River,1053,1191,64
Reeves,2236,2351,71
Refugio,1139,613,31
Roberts,146,25,2
Robertson,3619,886,74
Rockwall,19837,6123,257
Runnels,1120,1149,63
Rusk,6418,4216,223
Sabine,684,545,86
San Augustine,522,524,41
San Jacinto,3930,1398,100
San Patricio,8696,2282,334
San Saba,806,427,33
Schleicher,240,280,9
Scurry,4566,392,101
Shackelford,212,444,12
Shelby,2688,1665,126
Sherman,366,125,16
Smith,28830,16363,936
Somervell,1320,781,35
Starr,14398,5170,360
Stephens,988,814,45
Sterling,95,150,5
Stonewall,74,278,7
Sutton,379,459,12
Swisher,1241,668,33
Tarrant,453702,81785,5084
Taylor,13073,17125,704
Terrell,75,42,3
Terry,1474,960,84
Throckmorton,85,181,8
Titus,5669,2723,125
Tom Green,8509,21783,452
Travis,201171,17905,1672
Trinity,1775,664,72
Tyler,1666,1698,83
Upshur,3518,4087,177
Upton,134,693,17
Uvalde,9747,779,138
Val Verde,13786,453,287
Van Zandt,6580,3610,269
Victoria,16666,1733,402
Walker,16201,2086,208
Waller,7798,1536,100
Ward,2049,752,43
Washington,7576,1397,144
Webb,84756,7470,1005
Wharton,6954,1790,206
Wheeler,916,239,20
Wichita,28072,1057,649
Wilbarger,2785,650,86
Willacy,5757,1078,125
Williamson,107629,22064,849
Wilson,7436,3235,155
Winkler,1488,346,34
Wise,14043,2708,256
Wood,4996,2970,276
Yoakum,827,243,41
Young,3299,580,88
Zapata,2367,1272,52
Zavala,3368,654,66
Incomplete Address,67612,6313,21
Total,5439516,1122038,83997
