County,Donald TrumpRepublican %,Donald TrumpRepublican #,Joe BidenDemocratic %,Joe BidenDemocratic #,Jo JorgensenLibertarian %,Jo JorgensenLibertarian #,Howie HawkinsGreen %,Howie HawkinsGreen #,Other votes %,Other votes #,Totalvotes
Anderson,78.59%,"15,110",20.57%,"3,955",0.70%,134,0.11%,22,0.04%,6,"19,227"
Andrews,84.31%,"4,943",14.50%,850,1.02%,60,0.17%,10,0.00%,0,"5,863"
Angelina,72.40%,"25,076",26.40%,"9,143",0.79%,274,0.22%,75,0.20%,67,"34,635"
Aransas,75.17%,"9,239",23.73%,"2,916",0.84%,103,0.25%,31,0.01%,1,"12,290"
Archer,89.66%,"4,300",9.30%,446,0.94%,45,0.08%,4,0.02%,1,"4,796"
Armstrong,93.08%,"1,035",6.74%,75,0.18%,2,0.00%,0,0.00%,0,"1,112"
Atascosa,66.37%,"12,039",32.40%,"5,876",0.79%,143,0.32%,58,0.12%,22,"18,138"
Austin,78.48%,"11,447",20.23%,"2,951",0.84%,123,0.23%,33,0.22%,32,"14,586"
Bailey,77.10%,"1,434",21.99%,409,0.75%,14,0.11%,2,0.05%,1,"1,860"
Bandera,79.03%,"10,057",19.68%,"2,505",0.94%,120,0.24%,30,0.11%,14,"12,726"
Bastrop,55.81%,"20,516",42.09%,"15,474",1.44%,531,0.35%,128,0.30%,113,"36,762"
Baylor,87.78%,"1,494",10.75%,183,1.29%,22,0.06%,1,0.12%,2,"1,702"
Bee,63.72%,"6,006",34.88%,"3,288",0.99%,93,0.29%,27,0.13%,12,"9,426"
Bell,53.17%,"67,893",44.65%,"57,014",1.55%,"1,980",0.34%,440,0.28%,363,"127,690"
Bexar,40.05%,"308,618",58.20%,"448,452",1.15%,"8,837",0.36%,"2,798",0.24%,"1,866","770,571"
Blanco,72.97%,"5,443",25.62%,"1,911",0.97%,72,0.20%,15,0.24%,18,"7,459"
Borden,95.43%,397,3.85%,16,0.48%,2,0.24%,1,0.00%,0,416
Bosque,81.84%,"7,469",17.10%,"1,561",0.91%,83,0.14%,13,0.00%,0,"9,126"
Bowie,70.87%,"27,116",28.09%,"10,747",0.78%,300,0.24%,91,0.02%,7,"38,261"
Brazoria,58.35%,"90,433",40.15%,"62,228",1.20%,"1,860",0.27%,417,0.03%,46,"154,984"
Brazos,55.71%,"47,530",41.43%,"35,349",2.12%,"1,812",0.30%,252,0.43%,370,"85,313"
Brewster,51.04%,"2,461",46.83%,"2,258",1.85%,89,0.29%,14,0.00%,0,"4,822"
Briscoe,88.14%,639,10.76%,78,0.97%,7,0.14%,1,0.00%,0,725
Brooks,40.18%,998,59.18%,"1,470",0.40%,10,0.24%,6,0.00%,0,"2,484"
Brown,85.78%,"13,698",13.19%,"2,107",0.84%,134,0.15%,24,0.05%,6,"15,969"
Burleson,78.33%,"6,743",20.77%,"1,788",0.73%,63,0.17%,15,0.00%,0,"8,609"
Burnet,75.93%,"18,767",22.81%,"5,639",1.08%,268,0.14%,34,0.04%,9,"24,717"
Caldwell,53.64%,"8,031",44.56%,"6,672",1.27%,190,0.31%,47,0.22%,33,"14,973"
Calhoun,71.80%,"5,641",27.34%,"2,148",0.78%,61,0.08%,6,0.00%,0,"7,856"
Callahan,87.92%,"6,012",10.73%,734,1.04%,71,0.22%,15,0.09%,6,"6,838"
Cameron,42.89%,"49,032",56.04%,"64,063",0.64%,728,0.29%,336,0.15%,167,"114,326"
Camp,71.66%,"3,626",27.55%,"1,394",0.61%,31,0.14%,7,0.04%,2,"5,060"
Carson,89.01%,"2,779",9.51%,297,1.19%,37,0.10%,3,0.19%,6,"3,122"
Cass,79.22%,"11,033",20.07%,"2,795",0.57%,79,0.12%,17,0.02%,3,"13,927"
Castro,76.91%,"1,602",22.37%,466,0.43%,9,0.29%,6,0.00%,0,"2,083"
Chambers,80.15%,"17,353",18.46%,"3,997",1.15%,250,0.23%,50,0.00%,2,"21,652"
Cherokee,77.41%,"15,101",21.58%,"4,210",0.83%,161,0.18%,36,0.00%,0,"19,508"
Childress,85.26%,"1,943",13.60%,310,0.79%,18,0.35%,8,0.00%,0,"2,279"
Clay,88.25%,"5,069",10.69%,614,0.80%,46,0.21%,12,0.05%,3,"5,744"
Cochran,80.90%,809,17.70%,177,1.10%,11,0.30%,3,0.00%,0,"1,000"
Coke,89.15%,"1,586",10.01%,178,0.56%,10,0.28%,5,0.00%,0,"1,779"
Coleman,88.18%,"3,641",10.92%,451,0.56%,23,0.22%,9,0.12%,5,"4,129"
Collin,51.26%,"252,318",46.92%,"230,945",1.23%,"6,075",0.25%,"1,246",0.33%,"1,632","492,216"
Collingsworth,86.04%,"1,048",12.73%,155,0.99%,12,0.08%,1,0.16%,2,"1,218"
Colorado,74.91%,"7,472",24.26%,"2,420",0.50%,50,0.19%,19,0.14%,14,"9,975"
Comal,70.58%,"62,740",27.93%,"24,826",1.24%,"1,106",0.21%,191,0.03%,29,"88,892"
Comanche,85.06%,"5,177",14.02%,853,0.81%,49,0.08%,5,0.03%,2,"6,086"
Concho,83.44%,"1,058",15.54%,197,0.79%,10,0.24%,3,0.00%,0,"1,268"
Cooke,81.98%,"15,596",16.87%,"3,210",0.82%,156,0.14%,26,0.20%,37,"19,025"
Coryell,65.71%,"15,438",32.20%,"7,565",1.75%,410,0.33%,77,0.01%,3,"23,493"
